timestamp,amenity_backend,source_url,stations_total,stations_with_amenities,query_budget,queries_used,cache_hits,cache_misses,deferred
2026-02-11T13:30:16+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,19816,0,0,0,0,19816,19816
2026-02-11T13:41:41+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,1,1,1,1,0,1,0
2026-02-11T13:42:36+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,19816,1,0,0,1,19815,19815
2026-02-11T13:43:45+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,19816,0,0,0,0,19816,19816
2026-02-11T15:14:46+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,19816,0,0,0,0,19816,19816
2026-02-11T15:19:32+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,500,0,0,0,0,500,500
2026-02-11T15:19:56+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,16485,0,0,0,0,16485,16485
2026-02-11T15:23:00+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,16485,0,0,0,0,16485,16485
2026-02-11T18:17:58+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,50,0,0,0,0,50,50
2026-02-11T18:18:19+00:00,overpass,https://data.bundesnetzagentur.de/Bundesnetzagentur/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenregister_BNetzA_2026-01-28.csv,16485,0,0,0,0,16485,16485
